ID,Grade,Section,Major,Midterm 1 (2677998),Midterm 2 (2696673),Final (2710773),OpenDSA (2715116),Pre-Course Survey on Experience with AI Tools (2667450),Project 1 (2647679),Project 2 (2682268),Project 3 (2694133),Project 4 (2703442),Bank Day Bonus Points (2723669),Final Points,,"Before this semester, had you ever used a Large Language Model (LLM), such as ChatGPT, Claude, or GitHub Copilot?",What activities have you used LLMs for?,Which of the following AI tools have you used before?,"If you have used any AI tools not listed above, please describe. Or write ""None"".",Approximately how long have you been using these AI tools?,LLMs usually produce correct answers if the prompt is clear,LLMs can generate convincing but incorrect explanations,LLM outputs should always be verified,Feel free to write here anything else that you would like to say about your experience with AI tools that might be relevant to this class.,,8762405: Did you use an LLM to help with any part of this project?,"8762406: What LLM tools did you use, if any? (Select all that apply.)","8762407: If you marked ""Other"" for the previous question, please list here any other LLM that you used to help you with this project.",8762408: How did you use the LLM?,8762409: How helpful did you find using an LLM for debugging your project?,8762410: How helpful did you find using an LLM for planning a development roadmap or developing the overall structure?,8762411: How helpful did you find using an LLM to search for information or understand concepts needed to develop the project?,8762412: How helpful did you find using an LLM for understanding project requirements?,8762413: How helpful did you find using an LLM for writing test cases?,8762414: How helpful did you find using an LLM for generating code?,8762415: How helpful did you find using an LLM for improving existing code?,8762416: Briefly discuss here if you used an LLM for any other purpose as part of your project.,,8935652: Did you use an LLM to help with any part of this project?,"8935653: What LLM tools did you use, if any? (Select all that apply.)","8935654: If you marked ""Other"" for the previous question, please list here any other LLM that you used to help you with this project.",8935655: How did you use the LLM?,8935656: How helpful did you find using an LLM for debugging your project?,8935657: How helpful did you find using an LLM for planning a development roadmap or developing the overall structure?,8935658: How helpful did you find using an LLM to search for information or understand concepts needed to develop the project?,8935659: How helpful did you find using an LLM for understanding project requirements?,8935660: How helpful did you find using an LLM for writing test cases?,8935661: How helpful did you find using an LLM for generating code?,8935662: How helpful did you find using an LLM for improving existing code?,8935663: Briefly discuss here if you used an LLM for any other purpose as part of your project.,,8996517: Did you use an LLM to help with any part of this project?,"8996518: What LLM tools did you use, if any? (Select all that apply.)","8996519: If you marked ""Other"" for the previous question, please list here any other LLM that you used to help you with this project.",8996520: How did you use the LLM?,8996521: How helpful did you find using an LLM for debugging your project?,8996522: How helpful did you find using an LLM for planning a development roadmap or developing the overall structure?,8996523: How helpful did you find using an LLM to search for information or understand concepts needed to develop the project?,8996524: How helpful did you find using an LLM for understanding project requirements?,8996525: How helpful did you find using an LLM for writing test cases?,8996526: How helpful did you find using an LLM for generating code?,8996527: How helpful did you find using an LLM for improving existing code?,8996528: Briefly discuss here if you used an LLM for any other purpose as part of your project.,,9012716: Did you use an LLM to help with any part of this project?,"9012717: What LLM tools did you use, if any? (Select all that apply.)","9012718: If you marked ""Other"" for the previous question, please list here any other LLM that you used to help you with this project.",9012719: How did you use the LLM?,9012720: How helpful did you find using an LLM for debugging your project?,9012721: How helpful did you find using an LLM for planning a development roadmap or developing the overall structure?,9012722: How helpful did you find using an LLM to search for information or understand concepts needed to develop the project?,9012723: How helpful did you find using an LLM for understanding project requirements?,9012724: How helpful did you find using an LLM for writing test cases?,9012725: How helpful did you find using an LLM for generating code?,9012726: How helpful did you find using an LLM for improving existing code?,9012727: Briefly discuss here if you used an LLM for any other purpose as part of your project.,"9012792: As part of a research study on student use of LLMs in programming assignments, a research team is seeking your permission to use data from assignments submitted as part of this class.
Title of research study: LLM Assignment Use Analysis
Principal Investgator: Cliff Shaffer, shaffer@vt.edu, 540-231-4354.
Key Information: This study will make use of assignments that you submit as a regular part of this class. No additional work is needed on your part to participate in the study. All assignment data will be de-identified prior to beginning any analysis, and the data will not be re-identified at any time. Your decision to participate or not participate will have no bearing on your grade or relationship with Virginia Tech. The research team won’t know who participated until after grades have been turned in.
Detailed Information: The following is more detailed information about this study in addition to the information listed above. The information to be studied include content from your course assignments, including these LLM use surveys and your scores on various assignments. Once the information for an individual has been aggregated, all identifying information is removed prior to analysis of the data. No attempt to later re-identify the data will be made. The only data stored will be the de-identified, aggregated data for the entire class. Federal laws state that you must give permission for researchers to access your school records. By giving consent to participate, you are also providing consent to access the following school records: These LLM survey responses and scores for assignments submitted for this class. If identifiers are removed from your private information, that information could be used for future research studies or distributed to another investigator for future research studies without your additional informed consent. Thisrelease will be kept indefinitely.
Who can I talk to?If you have questions, concerns, or complaints, or think the research has hurt you, talk to the research team by contacting shaffer@vt.edu.This research has been reviewed and approved by the Virginia Tech Institutional Review Board (IRB). You may communicate with them at 540-231-3732 or irb@vt.edu if:●  You have questions about your rights as a research subject●  Your questions, concerns, or complaints are not being answered by the research team●  You cannot reach the research team●  You want to talk to someone besides the research team to provide feedback about this research
How many people will be studied?We plan to include about 800-1000 people in this research study.
What happens if I say yes, I want to be in this research? You do not need to do anything different regardless of whether you agree to allow use of your data or not. All data used comes from assignments that you do as a normal part of the course.
What happens if I say yes, but I change my mind later? You may contact the study team at shaffer@vt.edu later to ask that your data not be used.
Is there any way being in this study could be bad for me? There are no known risks to participating in this study.
What happens to the information collected for the research?We will make every effort to limit the use and disclosure of your personal information only to people who have a need to review this information. We cannot promise complete confidentiality. Organizations that may inspect and copy your information include the IRB, Human Research Protection Program, and other authorized representatives of Virginia Tech. Since the information under study is class assignments, the above is true whether you participate in the research or not. The results of this research study may be presented in summary form at conferences, in presentations, reports to the sponsor, academic papers, and as part of a thesis/dissertation.

"
,,,,Manual Posting,Manual Posting,Manual Posting,,,,,,,,,Pre-Course Survey,,,,,,,,,,Project 1,,,,,,,,,,,,,Project 2,,,,,,,,,,,,,Project 3,,,,,,,,,,,,,Project 4,,,,,,,,,,,,,
,,,(read only),100,100,100,200,5,125,125,125,125,0,(read only),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197595,A,CS_3114_13469_202601,CPE,88,88,69.5,200,5,120,135,120,100,0,925.5,,Occasionally,"Programing-related tasks for personal use,Other",ChatGPT,<p>None</p>,Over a year,3,5,5,,,No,None Used,,I did not use an LLM,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,I did not use an LLM to search for information or understand concepts needed to develop the project,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,N/A,,No,None Used,,I did not use an LLM,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,I did not use an LLM to search for information or understand concepts needed to develop the project,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,,,No,None Used,,I did not use an LLM,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,I did not use an LLM to search for information or understand concepts needed to develop the project,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,,,No,None Used,,I used it in a browser,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,I did not use an LLM to search for information or understand concepts needed to develop the project,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,,"Yes, I consent to having my class assignments used as part of this research."
202527,B,CS_3114_13469_202601,ME,66,71.4,62,200,5,103,105,110,122,3,847.4,,Frequently,"Programing-related tasks in a course,Writing in a course,Other",ChatGPT,<p>None</p>,6-12 months,4,4,5,,,Yes,"ChatGPT,Other",grok.ai,I used it in a browser,Somewhat helpful,Very Helpful,Very Helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,,,Yes,ChatGPT,NA,I used it in a browser,Somewhat helpful,Very Helpful,Very Helpful,Somewhat helpful,Very Helpful,Very Helpful,Somewhat helpful,I also used it to help me improve mutation coverage.,,Yes,ChatGPT,,I used it in a browser,Very helpful,Very Helpful,I did not use an LLM to search for information or understand concepts needed to develop the project,I did not use an LLM for understanding project requirements,Very Helpful,Somewhat helpful,Somewhat helpful,,,Yes,ChatGPT,NA,I used it in a browser,I did not use an LLM to help debug my project.,Very Helpful,Very Helpful,I did not use an LLM for understanding project requirements,Very Helpful,Very Helpful,Very Helpful,NA,"Yes, I consent to having my class assignments used as part of this research."
213824,B,CS_3114_13469_202601,CMDA,60,82,57,200,5,97,110,130,105,9,855,,Very Frequently,"Programing-related tasks for personal use,Programing-related tasks in a course,Other","Microsoft Copilot,ChatGPT,ClaudeAI,Google Gemini",<p>None</p>,Over a year,4,4,5,,,Yes,"ChatGPT,ClaudeAI",None,I used it in a browser,Somewhat helpful,Very Helpful,Somewhat helpful,Very Helpful,Very Helpful,Somewhat helpful,Somewhat helpful,"I used an LLM for all the parts I have listed above, I found it most helpful for planning out a road map, adding a separate Handle class, and writing test cases specifically.",,Yes,"ChatGPT,ClaudeAI",None,I used it in a browser,Very helpful,Very Helpful,Somewhat helpful,Somewhat helpful,Very Helpful,Somewhat helpful,Very Helpful,I mainly used an LLM for debugging my existing code and helping to get mutation coverage in the later test cases.,,Yes,"ChatGPT,ClaudeAI",None,I used it in a browser,Somewhat helpful,Very Helpful,Very Helpful,Somewhat helpful,Somewhat helpful,Very Helpful,Very Helpful,Primarily used an LLM to optimize my functions for speed.,,Yes,"ChatGPT,ClaudeAI",None,I used it in a browser,Very helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Used mainly for getting higher mutation coverage and fixing my delete methods because they were failing reference.,"Yes, I consent to having my class assignments used as part of this research."
214205,A,CS_3114_13469_202601,CS,98,93,82,200,5,135,115,135,135,9,1007,,Very Frequently,"Programing-related tasks for personal use,Programing-related tasks in a course,Writing for personal use,Writing in a course","Microsoft Copilot,GitHub Copilot,ChatGPT,ClaudeAI,Google Gemini,Cursor,Perplexity",<p>None</p>,Over a year,3,4,5,,,Yes,"ChatGPT,Gemini,ClaudeAI",N/A,I used it from in an IDE,Very helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,N/A,,Yes,ClaudeAI,N/A,I used it in a browser,Very helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Identifying in my code where I was not getting full mutation coverage and possible reasoning for it.,,Yes,ClaudeAI,N/A,I used it another way,Very helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,N/A,,Yes,"ChatGPT,ClaudeAI",N/A,I used it another way,Very helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,N/A,"Yes, I consent to having my class assignments used as part of this research."
214631,C,CS_3114_13469_202601,CS,84,82,80,160.5,5,109,109,106,89,6,830.5,,Once or twice,Other,ChatGPT,<p>None</p>,Less than one month,2,5,5,,,No,None Used,,I did not use an LLM,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,I did not use an LLM to search for information or understand concepts needed to develop the project,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,,,No,None Used,,I did not use an LLM,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,I did not use an LLM to search for information or understand concepts needed to develop the project,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,,,No,None Used,,I did not use an LLM,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,I did not use an LLM to search for information or understand concepts needed to develop the project,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,,,No,None Used,,I did not use an LLM,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,I did not use an LLM to search for information or understand concepts needed to develop the project,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,,"Yes, I consent to having my class assignments used as part of this research."
217917,B+,CS_3114_13469_202601,MATH,70,71,53.5,200,5,109,122,122,112,9,873.5,,Frequently,"Programing-related tasks for personal use,Other","ChatGPT,Google Gemini",<p>None</p>,Over a year,3,5,5,<p>N/A</p>,,Yes,ChatGPT,N/A,I used it in a browser,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,Very Helpful,Somewhat helpful,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,Just for understanding concepts.,,Yes,ChatGPT,,I used it in a browser,Somewhat helpful,I did not use an LLM to help with planning a development roadmap or developing the overall structure,Somewhat helpful,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,,,Yes,ChatGPT,,I used it in a browser,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,Very Helpful,I did not use an LLM for understanding project requirements,I did not use an LLM for writing test cases,I did not use an LLM for generating code,I did not use an LLM for improving existing code,,,Yes,ChatGPT,N/A,I used it in a browser,I did not use an LLM to help debug my project.,I did not use an LLM to help with planning a development roadmap or developing the overall structure,Very Helpful,I did not use an LLM for understanding project requirements,Somewhat helpful,I did not use an LLM for generating code,I did not use an LLM for improving existing code,N/A,"Yes, I consent to having my class assignments used as part of this research."
220580,A,CS_3114_13469_202601,MCHL,90,88,92,200,5,105,115,135,135,9,974,,Occasionally,"Programing-related tasks for personal use,Programing-related tasks in a course,Writing for personal use","Microsoft Copilot,ChatGPT,Google Gemini",<p>I have used AI tools to give me ideas for a personal project and to give me guidance when I am stuck. I also use it for school projects as a last resort.</p>,6-12 months,3,5,5,,,Yes,"ChatGPT,ClaudeAI",n/a,I used it in a browser,Somewhat helpful,I did not use an LLM to help with planning a development roadmap or developing the overall structure,Very Helpful,Somewhat helpful,Somewhat helpful,Somewhat helpful,Very Helpful,n/a,,Yes,"ChatGPT,ClaudeAI",N/A,I used it in a browser,Very helpful,Somewhat helpful,Very Helpful,Very Helpful,Very Helpful,Somewhat helpful,Very Helpful,N/A,,Yes,ClaudeAI,N/A,I used it in a browser,Very helpful,Somewhat helpful,Very Helpful,Somewhat helpful,I did not use an LLM for writing test cases,Somewhat helpful,Very Helpful,N/A,,Yes,"ChatGPT,ClaudeAI",N/A,I used it in a browser,Very helpful,I did not use an LLM to help with planning a development roadmap or developing the overall structure,I did not use an LLM to search for information or understand concepts needed to develop the project,Somewhat helpful,Very Helpful,Somewhat helpful,Very Helpful,N/A,"Yes, I consent to having my class assignments used as part of this research."
222032,B+,CS_3114_13469_202601,CS,76,84.4,77,200,5,87,100,125,119,6,879.4,,Frequently,"Programing-related tasks for personal use,Programing-related tasks in a course,Other","Microsoft Copilot,ChatGPT",<p>DeepSeek</p>,Over a year,4,5,5,<p>N/A</p>,,Yes,"ChatGPT,ClaudeAI",N/A,I used it in a browser,Somewhat helpful,Very Helpful,Very Helpful,Somewhat helpful,Very Helpful,Very Helpful,Somewhat helpful,N/A,,Yes,ChatGPT,N/A,I used it in a browser,Somewhat helpful,Very Helpful,Somewhat helpful,Very Helpful,Very Helpful,Very Helpful,Somewhat helpful,N/A,,Yes,ChatGPT,N/A,I used it in a browser,Very helpful,Somewhat helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,Very Helpful,N/A,,Yes,ChatGPT,N/A,I used it in a browser,Very helpful,Very Helpful,Very Helpful,Very Helpful,Somewhat helpful,Very Helpful,Very Helpful,N/A,"Yes, I consent to having my class assignments used as part of this research."
