Cluster,UserID,TraceID,FramesetName,is attempted before,is finished before,is finished this time,# of conseuctive Incorrect,time divided by questions in this session
Credit Seeking,56,trace 0,LanguagesFS,0,FALSE,FALSE,0.8,8.414705882
Credit Seeking,413,trace 1,LanguagesFS,0,FALSE,FALSE,0.555555556,19.12352941
Normal,812,trace 3,LanguagesFS,0,FALSE,TRUE,0,16.28333333
Normal,812,trace 4,GrammarIntroFS,0,FALSE,TRUE,0.060606061,14955.0375
Normal,812,trace 5,RelationsFS,0,FALSE,TRUE,0.181818182,12.00952381
Normal,812,trace 6,EquivFS,0,FALSE,TRUE,0.125,72.74285714
Credit Seeking,812,trace 7,DFAintroFS,0,FALSE,TRUE,0.797752809,6.388636364
Normal,812,trace 8,DFAadvancedFS,0,FALSE,TRUE,0,15.43333333
Credit Seeking,812,trace 9,NFAFS,0,FALSE,TRUE,0.34375,59.49032258
Normal,812,trace 10,NFAequivFS,0,FALSE,TRUE,0.2,13.3
Normal,812,trace 11,NFA2DFAlargeExFS,0,FALSE,TRUE,0,12.36470588
Normal,812,trace 12,DFAMinFS,0,FALSE,TRUE,0.05,32.37894737
Normal,812,trace 13,DFAMinEx1FS,0,FALSE,TRUE,0,27.1826087
Normal,812,trace 14,DFAMinEx2FS,0,TRUE,TRUE,0,39.00740741
Credit Seeking,812,trace 15,NFAequivFS,1,TRUE,TRUE,0.555555556,1.275
Credit Seeking,812,trace 16,RegExFS,0,FALSE,FALSE,0.3125,21.67333333
Normal,812,trace 17,LanguagesFS,1,TRUE,TRUE,0,16.08571429
Normal,812,trace 18,GrammarIntroFS,1,FALSE,FALSE,0,16.23333333
Credit Seeking,812,trace 19,SetDefFS,0,FALSE,TRUE,0.541666667,5.139130435
Credit Seeking,812,trace 21,RelationsFS,1,TRUE,TRUE,0.35,22.22105263
Normal,812,trace 22,DFAintroFS,1,FALSE,FALSE,0,71.85
Normal,812,trace 23,ContextFreeLanguagesFF,0,FALSE,TRUE,0.214285714,7.346341463
Normal,812,trace 24,LeftLinearGrammarFF,0,FALSE,TRUE,0.195652174,72.22444444
Normal,812,trace 28,GrammarsForDCFLFF,0,FALSE,TRUE,0.076923077,24.01666667
Credit Seeking,812,trace 29,DPDAFF,0,FALSE,FALSE,0.6875,38373.64839
Credit Seeking,812,trace 30,TMGeneralModel,0,FALSE,FALSE,0.283018868,39.61730769
Normal,812,trace 31,PairToSortCONPI,0,FALSE,TRUE,0.157894737,50.9
Normal,812,trace 32,LowerBound,0,FALSE,FALSE,0,36.02
Normal,812,trace 33,TwoMulExample,0,FALSE,FALSE,0,31.55454545
Credit Seeking,812,trace 34,TravelSalesman,0,FALSE,FALSE,0.333333333,3.04
Credit Seeking,812,trace 35,KClique,0,FALSE,FALSE,0.6,12.23333333
Normal,812,trace 36,SATProof,0,FALSE,FALSE,0,3.525
Normal,812,trace 37,NFAequivFS,1,TRUE,TRUE,0.2,1.05
Credit Seeking,812,trace 38,RegExFS,1,FALSE,FALSE,0.711111111,5.140909091
Normal,812,trace 39,CFGDerivationsFF,0,FALSE,TRUE,0.111111111,7.341935484
Normal,812,trace 40,DerivationTreesFF,0,FALSE,TRUE,0,4.585714286
Credit Seeking,812,trace 41,MembershipProblemFF,0,FALSE,TRUE,0.418604651,4.457142857
Normal,812,trace 42,AmbiguityFF,0,FALSE,TRUE,0.1875,2.909677419
Normal,812,trace 43,TransformGrammarsFF,0,FALSE,TRUE,0.05,2.261538462
Credit Seeking,812,trace 45,RemoveUnitFF,0,FALSE,FALSE,0.760869565,6.156043956
Credit Seeking,812,trace 46,SetNotationFS,0,FALSE,TRUE,0.333333333,4.163636364
Normal,812,trace 47,NFAequivFS,1,TRUE,TRUE,0,0.1
Credit Seeking,812,trace 48,RegExFS,1,FALSE,TRUE,0.605263158,5.491891892
Normal,812,trace 49,RegEx2NFA1FS,0,FALSE,TRUE,0,1.933333333
Normal,812,trace 50,RegEx2NFAorFS,0,FALSE,TRUE,0,1.933333333
Normal,812,trace 51,RegEx2NFAcatFS,0,FALSE,TRUE,0.15,1.642105263
Normal,812,trace 52,RegEx2NFAstarFS,0,FALSE,TRUE,0.214285714,1.630769231
Normal,812,trace 53,RegEXtoNFAExampleFF,0,FALSE,TRUE,0.166666667,3.6
Normal,812,trace 54,ConvertRLREFF,0,FALSE,TRUE,0,2.00952381
Credit Seeking,812,trace 55,RegularGrammarFF,0,FALSE,FALSE,0.951612903,1.445901639
Credit Seeking,812,trace 56,NFAToREFF,0,FALSE,FALSE,0.5,2.82
Normal,812,trace 57,RegularGrammarFF,1,FALSE,TRUE,0.25,4.22962963
Normal,812,trace 58,NFAToREFF,1,FALSE,TRUE,0.058823529,4.6375
Normal,812,trace 59,REtoFAExampleFF,0,FALSE,TRUE,0,3.688888889
Normal,812,trace 60,RightLinearRGFF,0,FALSE,TRUE,0.16,2.425
Normal,812,trace 61,NFAToReExampleFF,0,FALSE,TRUE,0.117647059,2.95
Credit Seeking,812,trace 62,RegEXtoRegGrammarFF,0,FALSE,TRUE,0.467741935,747.3147541
Normal,812,trace 63,RegEXtoLeftRegGrammarFF,0,FALSE,TRUE,0.078947368,3.572972973
Normal,812,trace 64,STA,0,FALSE,TRUE,0.076923077,2.35
Normal,812,trace 65,ClosureConceptFF,0,FALSE,TRUE,0,3.654545455
Normal,812,trace 66,ClosureRegularLangFF,0,FALSE,TRUE,0.105263158,3.233333333
Credit Seeking,812,trace 67,RegularLangClosedInterFF,0,FALSE,TRUE,0.342857143,2.64057971
Credit Seeking,812,trace 68,RightQuotientFF,0,FALSE,TRUE,0.72027972,3.318309859
Normal,812,trace 69,HomomorphismFF,0,FALSE,TRUE,0,5.42
Normal,812,trace 70,introToNonRegularFF,0,FALSE,TRUE,0.052631579,2.677777778
Normal,812,trace 71,introToPumpingFF,0,FALSE,TRUE,0.25,2.115789474
Normal,812,trace 72,PLExample1FF,0,FALSE,TRUE,0.153846154,3.258823529
Normal,812,trace 73,PLExample2FF,0,FALSE,TRUE,0.212765957,2.22173913
Normal,812,trace 74,PLExample3FF,0,FALSE,TRUE,0.073170732,2.155
Normal,812,trace 75,PLExample4FF,0,FALSE,TRUE,0.146341463,1.98
Normal,812,trace 76,PLExample5FF,0,FALSE,TRUE,0.125,2.425806452
Normal,812,trace 77,PLExample6FF,0,FALSE,TRUE,0.155555556,2.186363636
Credit Seeking,812,trace 78,ClosurePropertiesFF,0,FALSE,TRUE,0.3,3.022222222
Normal,812,trace 79,ClosurePropertiesExample1FF,0,FALSE,TRUE,0.25,1.88
Normal,812,trace 80,ClosurePropertiesExample2FF,0,FALSE,TRUE,0.090909091,1.62
Normal,812,trace 81,ClosurePropertiesExample3FF,0,FALSE,TRUE,0,1.72
Credit Seeking,812,trace 82,RemoveUselessFF,0,FALSE,TRUE,0.333333333,4.833962264
Normal,812,trace 83,RemoveLambdaFF,0,FALSE,TRUE,0,5.344444444
Credit Seeking,812,trace 84,RemoveUnitFF,1,FALSE,TRUE,0.636363636,4.059259259
Normal,812,trace 85,ChomskyNormalFormFF,0,FALSE,TRUE,0,2.423529412
Normal,812,trace 86,GreibachNormalFormFF,0,FALSE,TRUE,0.171428571,3.241176471
Credit Seeking,812,trace 87,PDA,0,FALSE,TRUE,0.651162791,4.6
Normal,812,trace 88,PDATransitionsFF,0,FALSE,TRUE,0.115384615,1.888
Normal,812,trace 89,PDAAcceptanceFF,0,FALSE,TRUE,0.150943396,3.6
Normal,812,trace 90,PDAEmptyStackAcceptanceFF,0,FALSE,TRUE,0.108695652,3.626666667
Normal,812,trace 91,PDAAcceptanceEquivalenceFF,0,FALSE,TRUE,0,2.226086957
Credit Seeking,812,trace 92,PDACFLFF,0,FALSE,TRUE,0.355555556,2.496629213
Normal,812,trace 93,DPDAFF,1,FALSE,TRUE,0.117647059,1.825
Normal,812,trace 94,NCFLProofFF,0,FALSE,TRUE,0,1.938461538
Normal,812,trace 95,NCFLversusDCFLFF,0,FALSE,TRUE,0,1.62
Normal,812,trace 96,CFLClosurePropertiesFF,0,FALSE,TRUE,0.035714286,2.22962963
Normal,812,trace 97,CFLPumpingLemmaFF,0,FALSE,TRUE,0.074074074,1.7
Credit Seeking,812,trace 98,CFLPumpingLemmaExample1FF,0,FALSE,TRUE,0.556701031,2.679166667
Normal,812,trace 99,CFLPumpingLemmaExample2FF,0,FALSE,FALSE,0.176470588,2.242
Normal,812,trace 100,CFLPumpingLemmaExample3FF,0,FALSE,TRUE,0.136363636,2.260465116
Normal,812,trace 101,CFLPumpingLemmaExample4FF,0,FALSE,TRUE,0.183098592,2.102857143
Credit Seeking,812,trace 102,CFLPumpingLemmaExample5FF,0,FALSE,TRUE,0.692307692,3.84047619
Normal,812,trace 103,TMGeneralModel,1,FALSE,TRUE,0.225,2.235897436
Credit Seeking,812,trace 104,TMInterpreting,0,FALSE,TRUE,0.30952381,2.102439024
Normal,812,trace 105,TMDecidableVSAcceptable,0,FALSE,TRUE,0.235294118,2.0125
Normal,812,trace 106,TMComplicatedMachine3,0,FALSE,TRUE,0,2.216666667
Normal,812,trace 107,TwoMulExample,1,FALSE,TRUE,0,1.533333333
Normal,812,trace 108,TravelSalesman,1,FALSE,TRUE,0,2.431578947
Normal,812,trace 109,KClique,1,FALSE,TRUE,0.1,2.133333333
Normal,812,trace 110,SATProof,1,FALSE,TRUE,0,3.775
Normal,812,trace 111,NPCCoping,0,FALSE,TRUE,0.0625,2.546666667
Normal,812,trace 112,UnsolveableProblems1,0,FALSE,TRUE,0.083333333,2.654545455
Normal,812,trace 113,UnsolveableProblems2,0,FALSE,TRUE,0,2.15
Normal,1270,trace 114,SATProof,0,FALSE,TRUE,0.083333333,3.654545455
Normal,1270,trace 116,EquivFS,0,FALSE,FALSE,0,2.05
Normal,1270,trace 117,RelationsFS,0,FALSE,FALSE,0.266666667,21.22142857
Normal,1270,trace 118,SetDefFS,0,FALSE,FALSE,0.25,1.4
Normal,1270,trace 120,GrammarIntroFS,0,FALSE,FALSE,0,9.157142857
Normal,1270,trace 121,LanguagesFS,0,FALSE,FALSE,0,2.033333333
Normal,1270,trace 123,DFAintroFS,0,FALSE,FALSE,0,10.01666667
Normal,1270,trace 124,RelationsFS,1,FALSE,FALSE,0,5.525
Normal,1270,trace 125,EquivFS,1,FALSE,FALSE,0,3.62
Normal,1270,trace 126,RegularGrammarFF,0,FALSE,FALSE,0,5.033333333
Normal,1270,trace 127,CFLPumpingLemmaExample2FF,0,FALSE,TRUE,0.078947368,12.19459459
Normal,1270,trace 129,NFAToReExampleFF,0,FALSE,FALSE,0,7.55
Normal,1270,trace 130,NFAequivFS,0,FALSE,TRUE,0,0.1
Normal,1270,trace 131,NFA2DFAlargeExFS,0,FALSE,TRUE,0,17.45555556
Normal,1270,trace 132,NFAFS,0,FALSE,FALSE,0,20.675
Normal,1270,trace 133,SetNotationFS,0,FALSE,FALSE,0,1.7
Credit Seeking,2075,trace 134,LanguagesFS,0,FALSE,TRUE,0.664179104,8.47518797
Normal,2075,trace 135,GrammarIntroFS,0,FALSE,FALSE,0.25,1.366666667
Normal,2075,trace 136,LanguagesFS,1,TRUE,TRUE,0,0.1
Normal,2075,trace 137,TMComplicatedMachine3,0,FALSE,TRUE,0,10.63703704
Credit Seeking,2075,trace 138,PDAAcceptanceFF,0,FALSE,FALSE,0.738095238,0.76097561
Credit Seeking,2075,trace 140,LowerBound,0,TRUE,TRUE,0.52,1.883333333
Credit Seeking,2075,trace 141,TravelSalesman,0,FALSE,FALSE,0.628571429,1.620588235
Credit Seeking,2075,trace 142,EquivFS,0,FALSE,TRUE,0.4,2.942857143
Credit Seeking,2075,trace 143,RelationsFS,0,FALSE,TRUE,0.797752809,2.263636364
Normal,2075,trace 144,DerivationTreesFF,0,FALSE,FALSE,0,1.05
Credit Seeking,2116,trace 145,RegularGrammarFF,0,FALSE,FALSE,0.642857143,10.63076923
Normal,2116,trace 146,MajorConceptsFF,0,FALSE,TRUE,0.12244898,16.4
Normal,2116,trace 147,GrammarIntroFF,0,FALSE,FALSE,0,45.35882353
Credit Seeking,2116,trace 149,GrammarIntroFF,1,FALSE,TRUE,0.472222222,4.977142857
Credit Seeking,2116,trace 150,RegularGrammarFF,1,FALSE,TRUE,0.296296296,42.93076923
Normal,2116,trace 151,NFAToREFF,0,FALSE,TRUE,0.15,12.06315789
Normal,2116,trace 152,REtoFAExampleFF,0,FALSE,TRUE,0,19.8
Normal,2116,trace 153,RightLinearRGFF,0,FALSE,TRUE,0,7.3
Normal,2116,trace 154,NFAToReExampleFF,0,FALSE,TRUE,0,5.381818182
Normal,2116,trace 155,LeftLinearGrammarFF,0,FALSE,TRUE,0.060606061,12.475
Normal,2116,trace 157,PLExample1FF,0,FALSE,FALSE,0,5.2625
Normal,2116,trace 158,HomomorphismFF,0,FALSE,TRUE,0,43.68888889
Normal,2116,trace 159,MajorConceptsFF,1,FALSE,FALSE,0,2395.62
Normal,2116,trace 160,SetDefFF,0,FALSE,FALSE,0,4.366666667
Normal,2116,trace 161,NFA2DFAFrames,0,FALSE,FALSE,0,0.1
Normal,2116,trace 162,NFA,0,FALSE,TRUE,0.038461538,11.208
Normal,2116,trace 163,NFA2DFAFrames,1,FALSE,TRUE,0.043478261,40.37272727
Normal,2116,trace 164,NFAtoDFAFF,0,FALSE,TRUE,0,18.7
Normal,2116,trace 165,NFA2DFAFrames,1,FALSE,FALSE,0,30.05
Normal,2116,trace 166,DFAMinimizationFF,0,FALSE,TRUE,0.0625,32.55483871
Normal,2116,trace 167,MinimizationWithQuestionsFF,0,FALSE,TRUE,0,9.92173913
Normal,2116,trace 168,MinimizationWithQuestions2FF,0,FALSE,TRUE,0,11.52413793
Credit Seeking,2116,trace 169,RegularExpressionsFF,0,FALSE,TRUE,0.340909091,40.65581395
Credit Seeking,2116,trace 170,RegEXandRegLangFF,0,FALSE,FALSE,0.52173913,286.2318182
Normal,2116,trace 173,RemoveUselessFF,0,FALSE,FALSE,0.206896552,13.29285714
Normal,2116,trace 174,PDAAcceptanceFF,0,FALSE,FALSE,0.181818182,6.41
Normal,2116,trace 175,PDAAcceptanceEquivalenceFF,0,FALSE,TRUE,0,21.71
Normal,2116,trace 176,TMGeneralModel,0,FALSE,TRUE,0.031746032,35.06774194
Normal,2116,trace 177,TMInterpreting,0,FALSE,FALSE,0,51.8875
Normal,2116,trace 178,PDA,0,TRUE,TRUE,0.235294118,9.278787879
Normal,2116,trace 179,PDATransitionsFF,0,FALSE,TRUE,0.043478261,73.45909091
Normal,2116,trace 181,PairToSortCONPI,0,FALSE,TRUE,0.117647059,130.2625
Normal,2116,trace 182,LowerBound,0,FALSE,TRUE,0.1,55.8
Normal,2116,trace 183,TwoMulExample,0,FALSE,TRUE,0,357.7833333
Normal,3041,trace 184,LanguagesFS,0,FALSE,TRUE,0.194444444,146.7478873
Credit Seeking,3041,trace 185,DFAintroFS,0,FALSE,FALSE,0.890410959,13.78055556
Credit Seeking,3041,trace 186,RegExFS,0,FALSE,FALSE,0.776223776,11.79014085
Normal,3041,trace 187,RegEx2NFAstarFS,0,FALSE,FALSE,0,7.7
Normal,3041,trace 189,RegExFS,1,FALSE,TRUE,0,3.05
Normal,3041,trace 190,RegEx2NFA1FS,0,FALSE,TRUE,0,49.92727273
Normal,3041,trace 191,RegEx2NFAorFS,0,FALSE,FALSE,0,12.03333333
Credit Seeking,3041,trace 192,RegEx2NFAstarFS,1,FALSE,FALSE,0.625,1.028571429
Normal,3041,trace 193,GrammarIntroFS,0,FALSE,TRUE,0.153846154,56.08421053
Credit Seeking,3041,trace 194,SetDefFS,0,FALSE,TRUE,0.428571429,28.01538462
Credit Seeking,3041,trace 195,SetNotationFS,0,FALSE,TRUE,0.369565217,27.56
Normal,3041,trace 196,RelationsFS,0,FALSE,FALSE,0,2.05
Normal,3041,trace 197,EquivFS,0,FALSE,TRUE,0,26.86666667
Normal,3041,trace 199,DFAintroFS,1,FALSE,TRUE,0.058823529,17.95
Normal,3041,trace 200,DFAadvancedFS,0,FALSE,TRUE,0.055555556,57.89411765
Credit Seeking,3041,trace 201,NFAFS,0,FALSE,FALSE,0.392857143,124.562963
Normal,3041,trace 202,NFAequivFS,0,FALSE,TRUE,0,0.1
Credit Seeking,3041,trace 203,NFAFS,1,FALSE,TRUE,0.898305085,86.4862069
Normal,3041,trace 204,NFAequivFS,1,TRUE,TRUE,0,1.4
Credit Seeking,3041,trace 205,NFA2DFAlargeExFS,0,FALSE,TRUE,0.305555556,61.80571429
Normal,3063,trace 206,RemoveUnitFF,0,FALSE,FALSE,0,83.36666667
Normal,3063,trace 207,RemoveUselessFF,0,FALSE,FALSE,0,2.033333333
Credit Seeking,3063,trace 208,ChomskyNormalFormFF,0,FALSE,FALSE,0.5,2.24
Normal,3063,trace 209,UnsolveableProblems2,0,FALSE,FALSE,0,19.42
Normal,3415,trace 210,RegularExpressionsFF,0,FALSE,FALSE,0,37.42
Credit Seeking,3415,trace 211,RegularGrammarFF,0,FALSE,TRUE,0.555555556,7.140909091
Normal,3415,trace 212,NFAToREFF,0,FALSE,TRUE,0.058823529,14.95
Normal,3415,trace 213,REtoFAExampleFF,0,FALSE,TRUE,0,4.775
Normal,3415,trace 214,RightLinearRGFF,0,FALSE,TRUE,0,52.09230769
Normal,3415,trace 215,NFAToReExampleFF,0,FALSE,TRUE,0.076923077,9.35
Normal,3415,trace 216,LeftLinearGrammarFF,0,FALSE,TRUE,0.032258065,14.90666667
Normal,3415,trace 217,RegEXtoRegGrammarFF,0,FALSE,TRUE,0.04,19.88333333
Normal,3415,trace 218,RegEXtoLeftRegGrammarFF,0,FALSE,TRUE,0,24.53043478
Normal,3415,trace 219,STA,0,FALSE,TRUE,0,13.72
Normal,3415,trace 220,ClosureConceptFF,0,FALSE,TRUE,0.076923077,4.766666667
Normal,3415,trace 221,ClosureRegularLangFF,0,FALSE,TRUE,0.181818182,24.1047619
Normal,3415,trace 222,RegularLangClosedInterFF,0,FALSE,TRUE,0,18.07857143
Normal,3415,trace 223,RightQuotientFF,0,TRUE,TRUE,0,14.67272727
Normal,3415,trace 224,HomomorphismFF,0,FALSE,TRUE,0,17.8
Normal,3415,trace 225,introToNonRegularFF,0,FALSE,TRUE,0,10.34666667
Normal,3415,trace 226,introToPumpingFF,0,FALSE,TRUE,0,12.275
Normal,3415,trace 227,PLExample1FF,0,FALSE,TRUE,0.057692308,12.43529412
Normal,3415,trace 228,PLExample2FF,0,FALSE,TRUE,0,27.128
Normal,3415,trace 229,PLExample3FF,0,FALSE,TRUE,0,14.48888889
Normal,3415,trace 230,ClosurePropertiesFF,0,FALSE,TRUE,0,4.8
Normal,3415,trace 231,ClosurePropertiesExample1FF,0,FALSE,TRUE,0,6.62
Normal,3415,trace 232,ClosurePropertiesExample2FF,0,FALSE,TRUE,0,5.885714286
Normal,3415,trace 233,PDA,0,FALSE,TRUE,0.263157895,7.677777778
Normal,3415,trace 234,PDATransitionsFF,0,FALSE,TRUE,0,22.68
Normal,3415,trace 235,PDAAcceptanceFF,0,FALSE,TRUE,0.05,20.56923077
Normal,3415,trace 236,PDAEmptyStackAcceptanceFF,0,FALSE,TRUE,0,14.41764706
Credit Seeking,3415,trace 237,PDAAcceptanceEquivalenceFF,0,FALSE,FALSE,0.368421053,7.288888889
Normal,3415,trace 238,PDACFLFF,0,FALSE,FALSE,0.15,12.36153846
Normal,3415,trace 239,RemoveUselessFF,0,FALSE,TRUE,0.222222222,15.29142857
Normal,3415,trace 240,ChomskyNormalFormFF,0,FALSE,TRUE,0,8.728571429
Normal,3415,trace 241,GreibachNormalFormFF,0,FALSE,TRUE,0.184210526,14.24864865
Normal,3415,trace 242,RemoveUnitFF,0,FALSE,TRUE,0.083333333,8.377142857
Normal,3415,trace 243,GreibachNormalFormFF,1,FALSE,FALSE,0,5.366666667
Normal,3415,trace 244,CFLPumpingLemmaFF,0,FALSE,TRUE,0,49.67777778
Normal,3415,trace 245,CFLPumpingLemmaExample1FF,0,FALSE,TRUE,0,17.00645161
Normal,3415,trace 247,TMGeneralModel,0,FALSE,TRUE,0.131147541,15.93666667
Normal,3415,trace 248,TMInterpreting,0,FALSE,FALSE,0,775.3416667
Normal,3415,trace 249,PairToSortCONPI,0,FALSE,TRUE,0.043478261,49730.55455
Credit Seeking,3415,trace 250,LowerBound,0,FALSE,TRUE,0.285714286,37.86153846
Normal,3415,trace 251,TwoMulExample,0,FALSE,TRUE,0,17.88
Normal,3415,trace 252,TravelSalesman,0,FALSE,TRUE,0,16.51111111
Normal,3415,trace 253,KClique,0,FALSE,TRUE,0,20.91111111
Normal,3415,trace 254,SATProof,0,FALSE,TRUE,0.090909091,129.22
Normal,3415,trace 255,NPCCoping,0,FALSE,TRUE,0,21.68333333
Normal,3415,trace 256,SATProof,1,FALSE,FALSE,0,11.87142857
Normal,3415,trace 257,PairToSortCONPI,1,FALSE,FALSE,0,22.62
Normal,3415,trace 258,LowerBound,1,TRUE,TRUE,0,3.3
Normal,3415,trace 259,TravelSalesman,1,TRUE,TRUE,0,414.05
Normal,3415,trace 260,UnsolveableProblems1,0,FALSE,TRUE,0.090909091,37.32
Normal,3415,trace 261,UnsolveableProblems2,0,FALSE,TRUE,0,74.31428571
Normal,3562,trace 262,MajorConceptsFF,0,FALSE,FALSE,0,5.385714286
Normal,3562,trace 263,RegularExpressionsFF,0,FALSE,TRUE,0.1875,10.00645161
Normal,3562,trace 264,RegEXandRegLangFF,0,TRUE,TRUE,0.052631579,3.066666667
Normal,3562,trace 265,RegEXandRegLangORFF,0,FALSE,TRUE,0,2.371428571
Normal,3562,trace 266,RegEXandRegLangConcatFF,0,FALSE,TRUE,0.076923077,3.766666667
Normal,3562,trace 267,RegEXandRegLangStarFF,0,TRUE,TRUE,0,3.22
Normal,3562,trace 268,RegEXtoNFAExampleFF,0,FALSE,TRUE,0.235294118,4.575
Normal,3562,trace 269,ConvertRLREFF,0,FALSE,FALSE,0,5.221428571
Credit Seeking,3562,trace 270,RegularGrammarFF,0,FALSE,TRUE,0.303030303,5.56875
Normal,3562,trace 271,NFAToREFF,0,FALSE,TRUE,0.058823529,5.325
Normal,3562,trace 272,REtoFAExampleFF,0,TRUE,TRUE,0,5.52
Normal,3562,trace 273,RightLinearRGFF,0,FALSE,TRUE,0.0625,4.413333333
Credit Seeking,3562,trace 274,NFAToReExampleFF,0,FALSE,FALSE,0.458333333,4.965217391
Normal,3562,trace 275,LeftLinearGrammarFF,0,FALSE,TRUE,0.102564103,59.42631579
Normal,3562,trace 276,RegEXtoRegGrammarFF,0,FALSE,TRUE,0.216216216,6.783333333
Normal,3562,trace 277,RegEXtoLeftRegGrammarFF,0,FALSE,TRUE,0,5.258333333
Normal,3562,trace 278,STA,0,FALSE,TRUE,0,2.457142857
Normal,3562,trace 279,ClosureConceptFF,0,FALSE,TRUE,0.1,2.688888889
Normal,3562,trace 280,ClosureRegularLangFF,0,FALSE,TRUE,0,2.745454545
Credit Seeking,3562,trace 281,RegularLangClosedInterFF,0,FALSE,FALSE,0.285714286,2.679411765
Normal,3562,trace 282,RightQuotientFF,0,FALSE,TRUE,0.216216216,4.505555556
Normal,3562,trace 283,HomomorphismFF,0,FALSE,TRUE,0,2.028571429
Normal,3562,trace 284,introToNonRegularFF,0,FALSE,FALSE,0,4.0125
Normal,3562,trace 285,introToPumpingFF,0,FALSE,FALSE,0.25,2.728571429
Normal,3562,trace 286,PLExample1FF,0,FALSE,TRUE,0.12,4.341666667
Normal,3562,trace 287,PLExample2FF,0,FALSE,TRUE,0,4.3875
Normal,3562,trace 288,PLExample3FF,0,FALSE,TRUE,0,3.658823529
Normal,3562,trace 289,PLExample4FF,0,FALSE,FALSE,0.0625,3.473333333
Normal,3562,trace 290,PLExample5FF,0,FALSE,FALSE,0.142857143,2.930769231
Normal,3562,trace 291,PLExample6FF,0,FALSE,FALSE,0,3.19375
Credit Seeking,3562,trace 293,ClosurePropertiesExample1FF,0,FALSE,TRUE,0.333333333,1.745454545
Normal,3562,trace 294,ClosurePropertiesExample2FF,0,FALSE,TRUE,0,1.64
Normal,3562,trace 295,ClosurePropertiesExample3FF,0,FALSE,TRUE,0,1.84
Normal,3562,trace 296,introToNonRegularFF,1,FALSE,TRUE,0,0.1
